month;milk
01.01.1962;589
01.02.1962;561
01.03.1962;640
01.04.1962;656
01.05.1962;727
01.06.1962;697
01.07.1962;640
01.08.1962;599
01.09.1962;568
01.10.1962;577
01.11.1962;553
01.12.1962;582
01.01.1963;600
01.02.1963;566
01.03.1963;653
01.04.1963;673
01.05.1963;742
01.06.1963;716
01.07.1963;660
01.08.1963;617
01.09.1963;583
01.10.1963;587
01.11.1963;565
01.12.1963;598
01.01.1964;628
01.02.1964;618
01.03.1964;688
01.04.1964;705
01.05.1964;770
01.06.1964;736
01.07.1964;678
01.08.1964;639
01.09.1964;604
01.10.1964;611
01.11.1964;594
01.12.1964;634
01.01.1965;658
01.02.1965;622
01.03.1965;709
01.04.1965;722
01.05.1965;782
01.06.1965;756
01.07.1965;702
01.08.1965;653
01.09.1965;615
01.10.1965;621
01.11.1965;602
01.12.1965;635
01.01.1966;677
01.02.1966;635
01.03.1966;736
01.04.1966;755
01.05.1966;811
01.06.1966;798
01.07.1966;735
01.08.1966;697
01.09.1966;661
01.10.1966;667
01.11.1966;645
01.12.1966;688
01.01.1967;713
01.02.1967;667
01.03.1967;762
01.04.1967;784
01.05.1967;837
01.06.1967;817
01.07.1967;767
01.08.1967;722
01.09.1967;681
01.10.1967;687
01.11.1967;660
01.12.1967;698
01.01.1968;717
01.02.1968;696
01.03.1968;775
01.04.1968;796
01.05.1968;858
01.06.1968;826
01.07.1968;783
01.08.1968;740
01.09.1968;701
01.10.1968;706
01.11.1968;677
01.12.1968;711
01.01.1969;734
01.02.1969;690
01.03.1969;785
01.04.1969;805
01.05.1969;871
01.06.1969;845
01.07.1969;801
01.08.1969;764
01.09.1969;725
01.10.1969;723
01.11.1969;690
01.12.1969;734
01.01.1970;750
01.02.1970;707
01.03.1970;807
01.04.1970;824
01.05.1970;886
01.06.1970;859
01.07.1970;819
01.08.1970;783
01.09.1970;740
01.10.1970;747
01.11.1970;711
01.12.1970;751
01.01.1971;804
01.02.1971;756
01.03.1971;860
01.04.1971;878
01.05.1971;942
01.06.1971;913
01.07.1971;869
01.08.1971;834
01.09.1971;790
01.10.1971;800
01.11.1971;763
01.12.1971;800
01.01.1972;826
01.02.1972;799
01.03.1972;890
01.04.1972;900
01.05.1972;961
01.06.1972;935
01.07.1972;894
01.08.1972;855
01.09.1972;809
01.10.1972;810
01.11.1972;766
01.12.1972;805
01.01.1973;821
01.02.1973;773
01.03.1973;883
01.04.1973;898
01.05.1973;957
01.06.1973;924
01.07.1973;881
01.08.1973;837
01.09.1973;784
01.10.1973;791
01.11.1973;760
01.12.1973;802
01.01.1974;828
01.02.1974;778
01.03.1974;889
01.04.1974;902
01.05.1974;969
01.06.1974;947
01.07.1974;908
01.08.1974;867
01.09.1974;815
01.10.1974;812
01.11.1974;773
01.12.1974;813
01.01.1975;834
01.02.1975;782
01.03.1975;892
01.04.1975;903
01.05.1975;966
01.06.1975;937
01.07.1975;896
01.08.1975;858
01.09.1975;817
01.10.1975;827
01.11.1975;797
01.12.1975;843
